"ObjectID","ZIP","PO_NAME","STATE","SUMBLKPOP","POP2007","POP07_SQMI","SQMI","zip","eps"
10,"00012","Mt Meadows Area","CA",0,-99,-99,30.95,NA,NA
11,"00014","West Pima County","AZ",57,-99,-99,1210.69,NA,NA
12,"00015","Coronado NTL Forest","AZ",37,-99,-99,149.16,NA,NA
13,"00016","Sequoia National Forest","CA",6,-99,-99,39.45,NA,NA
14,"00017","Northeast Fresno County","CA",0,-99,-99,558.74,NA,NA
15,"00018","Los Padres NTL Forest","CA",0,-99,-99,108.22,NA,NA
16,"00019","Lassen NTL Forest","CA",25,-99,-99,411.17,NA,NA
17,"00020","Sierra National Forest","CA",0,-99,-99,413.74,NA,NA
18,"00022","Jackson St Forest","CA",8,-99,-99,33.75,NA,NA
19,"00026","East Tulare County","CA",52,-99,-99,1457.6,NA,NA
20,"00027","Pike NTL Forest","CO",16,-99,-99,42.61,NA,NA
21,"00028","Plumas NTL Forest","CA",4,-99,-99,114.32,NA,NA
22,"00029","Tahoe National Forest","CA",0,-99,-99,2.18,NA,NA
23,"00031","Lassen National Forest","CA",0,-99,-99,67.84,NA,NA
24,"00032","Los Padres NTL Forest","CA",20,-99,-99,594.45,NA,NA
25,"00033","Tahoe National Forest","CA",0,-99,-99,43.9,NA,NA
26,"00034","Klamath National Forest","CA",101,-99,-99,177.93,NA,NA
27,"00035","Modoc/Shasta/Klamath for","CA",14,-99,-99,890.41,NA,NA
28,"00037","West Tehama County","CA",0,-99,-99,97.85,NA,NA
29,"00038","East Tehama County","CA",35,-99,-99,490.95,NA,NA
30,"00039","Southeast Trinity County","CA",91,-99,-99,725.3,NA,NA
31,"00040","Yosemite NTL Park","CA",0,-99,-99,400.35,NA,NA
32,"00041","West Broward County","FL",0,-99,-99,804.99,NA,NA
33,"00042","Southwest Brevard Cnty","FL",128,-99,-99,140.35,NA,NA
34,"00043","Everglades","FL",26,-99,-99,921.55,NA,NA
35,"00044","South Alpine County","CA",0,-99,-99,275.15,NA,NA
36,"00045","Southeast Marion Cnty","FL",0,-99,-99,105.13,NA,NA
37,"00047","West Glenn County","CA",2,-99,-99,149.89,NA,NA
38,"00048","Mendocino NTL Forest","CA",17,-99,-99,242.13,NA,NA
39,"00049","Six Rivers National Fore","CA",56,-99,-99,298.92,NA,NA
40,"00050","Six Rivers NTL Forest","CA",2,-99,-99,150.69,NA,NA
41,"00051","Eldorado NTL Forest","CA",20,-99,-99,190.47,NA,NA
42,"00052","Eldorado NTL Forest","CA",0,-99,-99,56.54,NA,NA
43,"00053","Southwest Palm Beach Co","FL",11,-99,-99,737.04,NA,NA
44,"00054","Six Rivers NTL Forest","CA",28,-99,-99,157.52,NA,NA
45,"00055","Trinity NTL Forest","CA",35,-99,-99,287.25,NA,NA
46,"00056","Snake Riv Birds of Prey","ID",7,-99,-99,234.87,NA,NA
47,"00057","Channel Islands National PK","CA",7,-99,-99,197.32,NA,NA
48,"00058","Yosemite NTL Park","CA",0,-99,-99,102.77,NA,NA
49,"00059","Voyageurs Natl Park","MN",5,-99,-99,241.21,NA,NA
50,"00060","Superior National Forest","MN",1,-99,-99,484.8,NA,NA
51,"00061","Channel Is Air Guard Station","CA",0,-99,-99,23.73,NA,NA
52,"00063","Benton Lake NWR","MT",2,-99,-99,13.02,NA,NA
53,"00064","Sandoval County","NM",19,-99,-99,367.39,NA,NA
54,"00065","Plumas National Park","CA",7,-99,-99,165.35,NA,NA
55,"00066","White Sands Missile Rnge","NM",0,-99,-99,648.2,NA,NA
56,"00067","N Central Comanche Cnty","OK",631,-99,-99,145.07,NA,NA
57,"00068","Siuslaw NTL Forest","OR",0,-99,-99,12.94,NA,NA
58,"00069","Willamette National for","OR",99,-99,-99,1066.02,NA,NA
59,"00070","Mt Hood National Forest","OR",0,-99,-99,523.59,NA,NA
60,"00071","Uinta NTL Forest","UT",10,-99,-99,451.1,NA,NA
61,"00072","National Forest/Park","WA",67,-99,-99,1259.27,NA,NA
62,"00073","Usdoe Hanford Site","WA",4,-99,-99,354.96,NA,NA
63,"00074","Yakima Indian Res","WA",21,-99,-99,1351.63,NA,NA
64,"00076","Okanogan Natl Park","WA",46,-99,-99,732.31,NA,NA
65,"00077","Willamette Natl Forest","OR",5,-99,-99,168.66,NA,NA
66,"00084","Hoffman Forest","NC",6,-99,-99,20.2,NA,NA
67,"00087","NW Indian River County","FL",0,-99,-99,98.15,NA,NA
68,"00097","Everglades-Monroe County","FL",5,-99,-99,529.81,NA,NA
69,"00098","Everglades-S Monroe Cnty","FL",2,-99,-99,329.47,NA,NA
70,"00100","Wasatch National Forest","UT",37,-99,-99,20.07,NA,NA
71,"00116","Marsh Island","LA",0,-99,-99,114.16,NA,NA
72,"00119","Timbalier Islands","LA",0,-99,-99,5.55,NA,NA
73,"00120","Raccoon Point Isles","LA",0,-99,-99,5.25,NA,NA
74,"00121","Mississippi Delta","LA",0,-99,-99,41.37,NA,NA
75,"00122","Chandeleur Islands","LA",0,-99,-99,9.3,NA,NA
76,"00125","Northwest Aroostook","ME",17,-99,-99,2518.96,NA,NA
77,"00126","North Franklin County","ME",41,-99,-99,504.88,NA,NA
78,"00127","East Hancock County","ME",54,-99,-99,431.95,NA,NA
79,"00128","North Oxford County","ME",5,-99,-99,245.39,NA,NA
80,"00130","North Penobscot County","ME",409,-99,-99,634.35,NA,NA
81,"00132","North Somerset County","ME",45,-99,-99,1411.63,NA,NA
82,"00133","West Central Somerset Co","ME",46,-99,-99,709.54,NA,NA
83,"00134","Northern Washington Co","ME",267,-99,-99,617.92,NA,NA
84,"00135","Northern Piscataquis CNT","ME",386,-99,-99,3176.03,NA,NA
85,"00137","Central Aroostook Cnty","ME",37,-99,-99,519.1,NA,NA
86,"00138","South Aroostook Cnty","ME",24,-99,-99,208.57,NA,NA
87,"00139","TWPS D-E-6-Franklin Cnty","ME",0,-99,-99,104.68,NA,NA
88,"00140","Wyman Twp-Franklin Cnty","ME",70,-99,-99,20.03,NA,NA
89,"00141","T3 R1 NBPP-Penobscot Co","ME",2,-99,-99,31.14,NA,NA
90,"00145","E Central Somerset Cnty","ME",0,-99,-99,128.86,NA,NA
91,"00147","East Central Franklin","ME",93,-99,-99,87.26,NA,NA
92,"00148","NE Aroostook County","ME",38,-99,-99,246.25,NA,NA
93,"00151","S Central Washington Co","ME",42,-99,-99,116.77,NA,NA
94,"00152","Assateague Island NTL SE","MD",0,-99,-99,13.29,NA,NA
95,"00157","Boston Harbor Islands","MA",0,-99,-99,0.4,NA,NA
96,"00158","Monomoy Island","MA",0,-99,-99,2.74,NA,NA
97,"00160","Superior National Forest","MN",21,-99,-99,315.43,NA,NA
98,"00161","Superior National Forest","MN",85,-99,-99,467.76,NA,NA
99,"00164","Northwest Beltrami Cnty","MN",35,-99,-99,213.38,NA,NA
100,"00165","Beltrami Isl State for","MN",24,-99,-99,536.19,NA,NA
101,"00166","Red Lake Indian Res","MN",25,-99,-99,696.98,NA,NA
102,"00168","Beans Purchase","NH",4,-99,-99,67.82,NA,NA
103,"00172","Hadleys Purchase","NH",0,-99,-99,7.16,NA,NA
104,"00173","Cutts Grant","NH",0,-99,-99,11.09,NA,NA
105,"00174","Beans Grant","NH",0,-99,-99,9.69,NA,NA
106,"00176","Sargents Purchase","NH",0,-99,-99,25.59,NA,NA
107,"00177","Pinkham Grant","NH",0,-99,-99,3.64,NA,NA
108,"00179","Chandlers Purchase","NH",0,-99,-99,2.15,NA,NA
109,"00180","Thompson/Meserves Purch","NH",0,-99,-99,17.6,NA,NA
110,"00181","Low and Burbanks Grant","NH",0,-99,-99,26.2,NA,NA
111,"00182","Crawfords Purchase","NH",0,-99,-99,8.21,NA,NA
112,"00183","Greens Grant","NH",0,-99,-99,3.68,NA,NA
113,"00184","Martins Location","NH",0,-99,-99,2.59,NA,NA
114,"00185","Kilkenny","NH",0,-99,-99,25.27,NA,NA
115,"00188","Padre Island NTL Seashor","TX",6,-99,-99,91.65,NA,NA
116,"00195","Long Island","WA",0,-99,-99,8.27,NA,NA
117,"00197","B M Goldwater A F Range","AZ",153,-99,-99,1792.89,NA,NA
119,"00199","Tonto National Forest","AZ",13,-99,-99,156.08,NA,NA
1032,"04278","Rumford Center","ME",89,90,22.6,3.99,NA,NA
5552,"20107","Arcola","VA",21,82,59.9,1.37,NA,NA
7144,"25965","Elton","WV",207,208,28.6,7.28,NA,NA
7207,"26186","Wileyville","WV",297,284,14.8,19.16,NA,NA
9280,"32215","Jacksonville","FL",0,0,0,2.88,NA,NA
10127,"35041","Cardiff","AL",8,9,450,0.02,NA,NA
11915,"40754","Nevisdale","KY",175,183,70.7,2.59,NA,NA
11975,"40999","Woollum","KY",289,302,30.6,9.86,NA,NA
12086,"41338","Island City","KY",431,421,13.6,31.07,NA,NA
12324,"42287","Welchs Creek","KY",469,489,15.5,31.45,NA,NA
12676,"43618","Oregon","OH",3264,3382,211.9,15.96,NA,NA
13191,"45228","Cincinnati","OH",473,468,248.9,1.88,NA,NA
13276,"45408","Dayton","OH",10779,10188,3224.1,3.16,NA,NA
13283,"45418","Dayton","OH",6973,6741,454.2,14.84,NA,NA
13288,"45427","Dayton","OH",11722,11636,788.3,14.76,NA,NA
15437,"50706","Waterloo","IA",872,846,1019.3,0.83,NA,NA
17582,"57056","Rowena","SD",69,78,88.6,0.88,NA,NA
18008,"58319","Bremen","ND",60,54,1.9,28.92,NA,NA
25283,"79320","Bula","TX",63,58,1.6,36.07,NA,NA
25822,"81153","San Pablo","CO",650,625,1.9,322.08,NA,NA
26586,"85218","Apache Junction","AZ",6113,8323,59.2,140.68,NA,NA
26587,"85219","Apache Junction","AZ",16089,17108,387.4,44.16,NA,NA
26588,"85220","Apache Junction","AZ",29422,30497,1585.1,19.24,NA,NA
26589,"85222","Casa Grande","AZ",37427,44080,66.9,658.78,NA,NA
26593,"85228","Coolidge","AZ",10926,13490,112.7,119.67,NA,NA
26594,"85231","Eloy","AZ",16803,16749,29.9,560.83,NA,NA
26595,"85232","Florence","AZ",19903,22137,25.3,874.79,NA,NA
26599,"85237","Kearny","AZ",2786,2909,20.1,144.69,NA,NA
26600,"85239","Maricopa","AZ",8054,23476,35.7,657.19,NA,NA
26601,"85242","Queen Creek","AZ",13284,72090,354.2,203.52,NA,NA
26602,"85243","Queen Creek","AZ",812,6874,154.4,44.51,NA,NA
26603,"85247","Sacaton","AZ",8873,9270,19.3,479.47,NA,NA
26620,"85272","Stanfield","AZ",907,6697,217.8,30.75,NA,NA
26621,"85273","Superior","AZ",3359,3212,7.6,420.74,NA,NA
26627,"85292","Winkelman","AZ",2650,2672,6.2,429.72,NA,NA
26640,"85313","Glendale","AZ",0,0,0,0.49,NA,NA
27673,"92133","San Diego","CA",411,1857,20633.3,0.09,NA,NA
29229,"97427","Culp Creek","OR",279,274,1.6,170.49,NA,NA
